;;;;;;;;;;;;;;;;;;;;;;;
;BOA VISTA;NM;Serviços Financeiros Diversos;J.P. Morgan;IPO;ICVM 400;28/09/2020;R$ 12,20;30/09/20; 1.510 ; 1.898 ; 1.299.676.492 ; 870.065.582 ; 2.169.742.074 ;10%;28%;62%;0%;;;;;
;SUZANO;NM;Papel e Celulose;J.P. Morgan;FOLLOW-ON;ICVM 400;01/10/2020;R$ 46,00;05/10/20; 1.355 ; 1.946 ; - ; 6.910.001.550 ; 6.910.001.550 ;5%;43%;52%;1%;;;;;
;SEQUOIA LOG;NM;Serviços Diversos;BTG Pactual;IPO;ICVM 400;05/10/2020;R$ 12,40;07/10/20; 572 ; 705 ; 348.070.170 ; 557.787.687 ; 905.857.857 ;4%;27%;69%;0%;;;;;
;GRUPO MATEUS;NM;Alimentos;XP Investimentos;IPO;ICVM 400;08/10/2020;R$ 8,97;13/10/20; 16.162 ; 17.115 ; 3.099.286.441 ; 1.062.364.462 ; 4.161.650.902 ;10%;61%;27%;1%;;;;;
;GRUPO NATURA;NM;Produtos de Uso Pessoal;Morgan Stanley;FOLLOW-ON;ICVM 476;08/10/2020;R$ 46,25;13/10/20; - ; 1.635 ; 5.614.750.000 ; - ; 5.614.750.000 ;0%;37%;10%;32%;;;;;
;TRACK FIELD;N2;Vestuário;BTG Pactual;IPO;ICVM 400;22/10/2020;R$ 9,25;26/10/20; 1.267 ; 1.422 ; 182.391.500 ; 309.825.050 ; 492.216.550 ;7%;68%;24%;1%;;;;;
;MELIUZ;NM;Programas e Serviços;Itaú BBA;IPO;ICVM 400;03/11/2020;R$ 10,00;04/11/20; 1.066 ; 1.256 ; 334.677.510 ; 294.718.120 ; 629.395.630 ;10%;63%;26%;1%;;;;;
;ENJOEI;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;05/11/2020;R$ 10,25;06/11/20; 1.221 ; 1.447 ; 470.833.750 ; 515.883.761 ; 986.717.511 ;11%;71%;18%;0%;;;;;
;AURA 360;BDR;Minerais Metálicos;XP Investimentos;FOLLOW-ON;ICVM 400;06/11/2020;R$ 48,50;09/11/20; 543 ; 580 ; - ; 87.300.000 ; 87.300.000 ;14%;77%;0%;9%;;;;;
;AERIS;NM;Máq. e Equip. Industriais;BTG Pactual;IPO;ICVM 400;09/11/2020;R$ 5,55;10/11/20; 1.161 ; 1.330 ; 834.634.608 ; 294.576.884 ; 1.129.211.492 ;3%;30%;66%;0%;;;;;
;3R PETROLEUM;NM;Exploração. Refino e Distribuição;XP Investimentos;IPO;ICVM 400;09/11/2020;R$ 21,00;10/11/20; 1.412 ; 1.516 ; 690.000.003 ; - ; 690.000.003 ;8%;57%;17%;18%;;;;;
;BK BRASIL;NM;Restaurante e Similares;Itaú BBA;FOLLOW-ON;ICVM 476;17/11/2020;R$ 10,80;19/11/20; 324 ; 505 ; 510.300.000 ; - ; 510.300.000 ;0%;42%;51%;7%;;;;;
;ANIMA;NM;Serviços Educacionais;Bradesco BBI;FOLLOW-ON;ICVM 476;03/12/2020;R$ 34,00;07/12/20; - ; 297 ; 918.000.000 ; - ; 918.000.000 ;0%;45%;12%;43%;;;;;
;INTERMEDICA;NM;Serv.Méd.Hospit..Análises e Diagnósticos;Itaú  BBA;FOLLOW-ON;ICVM 476;01/12/2020;R$ 69,50;03/12/20; - ; 436 ; - ; 3.753.000.000 ; 3.753.000.000 ;0%;47%;53%;0%;;;;;
;ALPHAVILLE;NM;Incorporações;Bradesco BB;IPO;ICVM 476;09/12/2020;R$ 29,50;07/12/20; 6 ; 39 ; 305.992.585 ; - ; 305.992.585 ;2%;81%;4%;13%;;;;;
;REDE D OR;NM;Serv.Méd.Hospit..Análises e Diagnósticos;Bank of America;IPO;ICVM 400;09/12/2020;R$ 57,92;10/12/20; 41.258 ; 43.237 ; 8.437.640.047 ; 2.953.173.990 ; 11.390.814.037 ;11%;42%;47%;1%;;;;;
;NEOGRID;NM; Programas e Serviços;Credit Suisse;IPO;ICVM 400;15/12/2020;R$ 4,50;18/12/20; 2.747 ; 2.964 ; 337.500.000 ; 148.950.000 ; 486.450.000 ;18%;55%;27%;1%;;;;;
;LIGHT S/A;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;19/01/2021;R$ 20,00;21/01/21; 278 ; 663 ; 1.372.425.280 ; 1.372.425.280 ; 2.744.850.560 ;0%;66%;34%;0%;;;;;
;HBRREALTY;NM;Exploração de Imóveis;Bradesco BBI;IPO;ICVM 476;21/01/2021;R$ 19,10;26/01/21; - ; 31 ; 802.582.000 ; - ; 802.582.000 ;0%;59%;9%;33%;;;;;
;VAMOS;NM;Aluguel de carros;BTG Pactual;IPO;ICVM 476;27/01/2021;R$ 26,00;29/01/21; - ; 60 ; 889.598.528 ; 415.145.952 ; 1.304.744.480 ;0%;43%;57%;0%;;;;;
;OMEGA GER;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;28/01/2021;R$ 39,00;02/02/21; - ; 191 ; - ; 954.719.922 ; 954.719.922 ;0%;67%;31%;1%;;;;;
;BTGP BANCO;N2;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;21/01/2021;R$ 30,84;26/02/21; - ; 1.674 ; 2.570.000.021 ; - ; 2.570.000.021 ;0%;45%;16%;38%;;;;;
;PETRORIO;NM;Exploração. Refino e Distribuição;BTG Pactual;FOLLOW-ON;ICVM 476;28/01/2021;R$ 69,00;01/02/21; - ; 1.499 ; 2.049.300.000 ; - ; 2.049.300.000 ;0%;56%;15%;29%;;;;;
;BRASILAGRO;NM;Agricultura;BTG Pactual;FOLLOW-ON;ICVM 476;03/02/2021;R$ 22,00;05/02/21; - ; 550 ; 440.000.000 ; 60.177.810 ; 500.177.810 ;0%;37%;48%;14%;;;;;
;LOCAWEB;NM;Programas e Serviços;Itaú BBA;FOLLOW-ON;ICVM 476;09/02/2021;R$ 30,00;11/02/21; 1.530 ; 2.638 ; 2.346.000.000 ; 408.000.000 ; 2.754.000.000 ;1%;38%;61%;0%;;;;;
;ESPACOLASER;NM;Produtos Diversos;Itaú BBA;IPO;ICVM 400;28/01/2021;R$ 17,90;01/02/21; 7.135 ; 7.837 ; 1.199.999.997 ; 1.441.623.255 ; 2.641.623.252 ;10%;62%;27%;1%;;;;;
;INTELBRAS;NM;Computadores e Equipamentos;BTG Pactual;IPO;ICVM 400;02/02/2021;R$ 15,75;04/02/21; 16.772 ; 17.280 ; 724.500.000 ; 579.600.000 ; 1.304.100.000 ;12%;77%;12%;0%;;;;;
;MOSAICO;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;03/02/2021;R$ 19,80;05/02/21; 31.017 ; 32.377 ; 578.571.444 ; 636.428.668 ; 1.215.000.112 ;11%;72%;15%;1%;;;;;
;MOBLY;NM;Programas e Serviços;Morgan Stanley;IPO;ICVM 400;03/02/2021;R$ 21,00;05/02/21; 3.249 ; 3.591 ; 777.777.798 ; 155.555.547 ; 933.333.345 ;10%;38%;44%;9%;;;;;
;JALLESMACHADO;NM;Açucar e Alcool;XP Investimentos;IPO;ICVM 400;04/02/2021;R$ 8,30;08/02/21; 3.985 ; 4.465 ; 552.760.005 ; 138.189.995 ; 690.950.000 ;9%;60%;29%;2%;;;;;
;FOCUS ON;NM;Energia Elétrica;Morgan Stanley;IPO;ICVM 400;21/01/2021;R$ 18,02;08/02/21; 1.776 ; 2.019 ; 764.999.997 ; 7.649.995 ; 772.649.991 ;11%;42%;47%;0%;;;;;
;CRUZEIRO SUL;NM;Serviços Educacionais;BTG Pactual;IPO;ICVM 400;09/02/2021;R$ 14,00;11/02/21; 2.517 ; 2.763 ; 1.071.000.000 ; 160.650.000 ; 1.231.650.000 ;9%;51%;29%;0%;;;;;
;OCEANPACT;NM;Equipamentos e Serviços;Itaú BBA;IPO;ICVM 400;10/02/2021;R$ 11,15;12/02/21; 2.831 ; 3.114 ; 800.000.001 ; 270.000.004 ; 1.070.000.005 ;11%;76%;12%;0%;;;;;
;ORIZON;NM;Água e Saneamento;Credit Suisse;IPO;ICVM 400;11/02/2021;R$ 22,00;17/02/21; 4.867 ; 5.233 ; 381.399.040 ; 105.465.778 ; 486.864.818 ;17%;52%;28%;2%;;;;;
;ELETROMIDIA;NM;Publicidade e Propaganda;Morgan Stanley;IPO;ICVM 400;11/02/2021;R$ 17,81;17/02/21; 2.769 ; 3.019 ; 700.000.001 ; 57.944.301 ; 757.944.302 ;9%;50%;40%;0%;;;;;
;BEMOBI TECH;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;08/02/2021;R$ 22,00;10/02/21; 12.697 ; 13.620 ; 1.094.117.684 ; 164.117.646 ; 1.258.235.330 ;11%;76%;13%;0%;;;;;
;CSNMINERACAO;N2;Minerais Metálicos;Morgan Stanley;IPO;ICVM 400;12/02/2021;R$ 8,50;18/02/21; 66.255 ; 67.524 ; 1.796.903.409 ; 3.168.372.816 ; 4.965.276.224 ;20%;29%;50%;1%;;;;;
;WESTWING;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;08/02/2021;R$ 13,00;11/02/21; 8.368 ; 9.130 ; 430.294.306 ; 602.412.018 ; 1.032.706.324 ;12%;77%;11%;0%;;;;;
;3R PETROLEUM;NM;Exploração. Refino e Distribuição;BTG Pactual;FOLLOW-ON;ICVM 476;30/03/2021;R$ 36,00;01/04/21; - ; 1.184 ; 822.798.000 ; - ; 822.798.000 ;0%;62%;23%;14%;;;;;
;DASA;BÁSICO;Serv. Méd. Hospit., Análises e Diagnósticos;Bradesco BBI;FOLLOW-ON;ICVM 476;07/04/2021;R$ 58,00;08/04/21; 35 ; 287 ; 3.666.272.974 ; 120.734.888 ; 3.787.007.862 ;0%;21%;53%;26%;;;;;
;ALLIED;NM;Eletrodomésticos;BTG Pactual;IPO;ICVM 476;08/04/2021;R$ 18,00;12/04/21; 2 ; 38 ; 180.000.000 ; 90.000.000 ; 270.000.000 ;1%;70%;15%;0%;;;;;
;MATER DEI;NM;Serv.Méd.Hospit..Análises e Diagnósticos;BTG Pactual;IPO;ICVM 400;14/04/2021;R$ 17,44;16/04/21; 2.765 ; 3.069 ; 1.194.727.566 ; 218.399.986 ; 1.413.127.553 ;9%;71%;19%;1%;;;;;
;BLAU;NM;Medicamentos e Outros Produtos;Itaú BBA;IPO;ICVM 400;08/04/2021;R$ 40,14;19/04/21; 1.765 ; 2.017 ; 1.260.152.711 ; - ; 1.260.152.711 ;5%;46%;49%;0%;;;;;
;GPS;NM;Serviços Diversos;Itaú BBA;IPO;ICVM 400;22/04/2021;R$ 12,00;26/04/21; 1.669 ; 1.994 ; 1.082.251.080 ; 1.406.926.404 ; 2.489.177.484 ;4%;71%;25%;0%;;;;;
;BOA SAFRA;NM;Agricultura;XP Investimentos;IPO;ICVM 400;27/04/2021;R$ 9,90;29/04/21; 15.557 ; 16.158 ; 459.999.995 ; - ; 459.999.995 ;14%;70%;15%;1%;;;;;
;CAIXA SEGURI²;NM;Seguradoras;Morgan Stanley;IPO;ICVM 400;27/04/2021;R$ 9,67;29/04/21; - ; - ; - ; 4.351.500.000 ; 4.351.500.000 ;0%;0%;0%;0%;;;;;
;MODALMAIS;N2;Bancos;Credit Suisse;IPO;ICVM 400;28/04/2021;R$ 20,01;30/04/21; 4.310 ; 4.770 ; 2.477.788.275 ; 715.357.500 ; 3.193.145.775 ;7%;16%;12%;0%;;;;;
;SEQUOIA LOG;NM;Serviços Diversos;BTG Pactual;FOLLOW-ON;ICVM 476;15/04/2021;R$ 25,00;19/04/21; - ; 290 ; 207.182.325 ; 918.282.900 ; 1.125.465.225 ;0%;38%;35%;6%;;;;;
;ALUPAR;N2;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;20/04/2021;R$ 25,50;23/04/21; - ; 155 ; - ; 896.650.227 ; 896.650.227 ;0%;80%;20%;0%;;;;;
;HAPVIDA;NM;Serv. Méd. Hospit., Análises e Diagnósticos;BTG  Pactual;FOLLOW-ON;ICVM 476;20/04/2021;R$ 15,00;23/04/21; - ; 1.058 ; 2.025.000.000 ; 675.000.000 ; 2.700.000.000 ;0%;61%;30%;10%;;;;;
;LOJAS RENNER;NM;Tecidos, Vestuário e Calçados;Itaú BBA;FOLLOW-ON;ICVM 476;29/04/2021;R$ 39,00;03/05/21; 2.205 ; 3.160 ; 3.978.000.000 ; - ; 3.978.000.000 ;0%;50%;50%;0%;;;;;
;INFRACOMM;NM;Programas e Serviços;Itaú BBA;IPO;ICVM 476;30/04/2021;R$ 16,00;04/05/21; 1 ; 137 ; 902.388.000 ; - ; 902.388.000 ;0%;71%;40%;0%;;;;;
;PETRORECSA;NM;Exploração. Refino e Distribuição;Itaú BBA;IPO;ICVM 400;03/05/2021;R$ 14,75;05/05/21; 2.596 ; 2.926 ; 1.187.375.000 ; - ; 1.187.375.000 ;10%;79%;11%;0%;;;;;
;GETNINJAS;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;18/05/2021;R$ 20,00;17/05/21; 1.205 ; 1.343 ; 321.285.160 ; 160.754.620 ; 482.039.780 ;7%;79%;13%;0%;;;;;
;G2D INVEST;BDR;Gestão de Recursos e Investimentos;BTG Pactual;IPO;ICVM 400;13/05/2021;R$ 7,16;17/05/21; 5.124 ; 5.387 ; 281.062.399 ; - ; 281.062.399 ;60%;2%;13%;25%;;;;;
;REDE D OR;NM;Serv.Méd.Hospit..Análises e Diagnósticos;BofA Merrill Lynch;FOLLOW-ON;ICVM 476;26/05/2021;R$ 71,00;28/05/21; - ; 2.362 ; 1.777.840.000 ; 3.111.220.000 ; 4.889.060.000 ;0%;50%;48%;3%;;;;;
;DOTZ;NM;Programas de Fidelização;BTG Pactual;IPO;ICVM 476;27/05/2021;R$ 13,20;31/05/21; - ; 24 ; 390.720.000 ; - ; 390.720.000 ;0%;45%;52%;7%;;;;;
;ECORODOVIAS;NM;Exploração de Rodovias;BTG Pactual;FOLLOW-ON;ICVM 476;22/06/2021;R$ 12,50;24/06/21; - ; 7 ; 1.720.439.300 ; 250.000.000 ; 1.970.439.300 ;0%;13%;0%;0%;;;;;
;BTGP BANCO;N2;Bancos;BTG Pactual, Bradesco BBI;FOLLOW-ON;ICVM 476;08/06/2021;R$ 40,67;10/06/21; - ; 2.059 ; 2.977.288.020 ; - ; 2.977.288.020 ;0%;50%;21%;37%;;;;;
;BANCO INTER;N2;Bancos;Bradesco BBI;FOLLOW-ON;ICVM 476;24/06/2021;R$ 19,28;28/06/21; 18.015 ; 20.757 ; 5.499.999.970 ; - ; 5.499.999.970 ;2%;25%;74%;0%;;;;;
;BR PARTNERS;N2;Bancos;BTG Pactual;IPO;ICVM 476;17/06/2021;R$ 16,00;21/06/21; - ; 84 ; 1.092.000.000 ; - ; 1.092.000.000 ;0%;34%;3%;0%;;;;;
;GRUPO SOMA;NM;Tecidos. Vestuário e Calçados;Itaú BBA;FOLLOW-ON;ICVM 476;20/07/2021;R$ 19,20;22/07/21; 289 ; 599 ; 883.435.584 ; - ; 883.435.584 ;0%;90%;10%;0%;;;;;
;MAGAZ LUIZA;NM;Eletrodomésticos;Itaú BBA;FOLLOW-ON;ICVM 476;22/07/2021;R$ 22,75;26/07/21; 2.827 ; 3.979 ; 3.981.250.000 ; - ; 3.981.250.000 ;0%;31%;69%;0%;;;;;
;MELIUZ;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;15/07/2021;R$ 57,00;19/07/21; 1 ; 1.499 ; 427.500.000 ; 727.660.119 ; 1.155.160.119 ;0%;55%;20%;11%;;;;;
;3TENTOS;NM;Agricultura;BTG Pactual;IPO;ICVM 476;07/07/2021;R$ 12,25;12/07/21; 20 ; 81 ; 1.152.941.176 ; 192.156.869 ; 1.345.098.045 ;1%;99%;16%;0%;;;;;
;WDC NETWORKS;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 476;22/07/2021;R$ 23,20;23/07/21; - ; 35 ; 450.080.000 ; - ; 450.080.000 ;0%;95%;6%;0%;;;;;
;SMART FIT;NM;Atividades Esportivas;Itaú BBA;IPO;ICVM 400;12/07/2021;R$ 23,00;14/07/21; 16.164 ; 17.305 ; 2.645.000.000 ; - ; 2.645.000.000 ;9%;41%;31%;19%;;;;;
;MULTILASER;NM;Computadores e Equipamentos;Itáu BBA;IPO;ICVM 400;20/07/2021;R$ 11,10;22/07/21; 18.708 ; 19.331 ; 1.912.676.942 ; - ; 1.912.676.942 ;12%;75%;28%;1%;;;;;
;DESKTOP;NM;Computadores e Equipamentos;Itaú BBA;IPO;ICVM 400;19/07/2021;R$ 23,50;21/07/21; 8.393 ; 8.845 ; 715.222.500 ; - ; 715.222.500 ;14%;109%;13%;0%;;;;;
;CBA;NM;Minerais Metálicos;BofA Merrill Lynch;IPO;ICVM 400;13/07/2021;R$ 11,20;15/07/21; 7.782 ; 8.191 ; 700.000.000 ; 910.000.000 ; 1.610.000.000 ;11%;58%;29%;16%;;;;;
;PETROBRAS BR;NM;Exploração. Refino e Distribuição;Morgan Stanley;FOLLOW-ON;ICVM 400;01/07/2021;R$ 26,00;02/07/21; 4.859 ; 5.795 ; - ; 11.358.750.000 ; 11.358.750.000 ;6%;59%;34%;0%;;;;;
;AGROGALAXY;NM;Agricultura;Itaú BBA;IPO;ICVM 476;22/07/2021;R$ 13,75;26/07/21; - ; 120 ; 349.999.994 ; - ; 349.999.994 ;0%;0%;0%;0%;;;;;
;UNIFIQUE;NM;Telecomunicações;XP Investimentos;IPO;ICVM 400;23/07/2021;R$ 8,60;27/07/21; 9.372 ; 9.957 ; 863.420.899 ; - ; 863.420.899 ;14%;58%;27%;2%;;;;;
;ARMAC;NM;Máq. e Equip. Industriais;Santander;IPO;ICVM 400;26/07/2021;R$ 16,63;28/07/21; 8.076 ; 8.716 ; 1.000.300.753 ; 532.483.071 ; 1.532.783.824 ;11%;61%;28%;0%;;;;;
;TC;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;26/07/2021;R$ 9,50;28/07/21; 3.762 ; 4.230 ; 544.930.346 ; - ; 544.930.346 ;10%;70%;2%;17%;;;;;
;BRISANET;NM;Telecomunicações;Santander;IPO;ICVM 400;27/07/2021;R$ 13,92;29/07/21; 5.965 ; 6.183 ; 1.340.059.998 ; - ; 1.340.059.998 ;15%;78%;7%;0%;;;;;
;CLEARSALE;NM;Serviços Financeiros Diversos;Itaú BBA;IPO;ICVM 400;28/07/2021;R$ 25,00;30/07/21; 7.444 ; 8.026 ; 795.156.250 ; 509.967.250 ; 1.305.123.500 ;10%;51%;39%;1%;;;;;
;VIVEO;NM;Medicamentos e Outros Produtos;JP Morgan;IPO;ICVM 476;05/08/2021;R$ 19,92;09/08/21; 1 ; 215 ; 699.999.995 ; 1.176.980.292 ; 1.876.980.287 ;0%;38%;61%;0%;;;;;
;RAIZEN;N2;Exploração, Refino e Distribuição;BTG Pactual;IPO;ICVM 400;03/08/2021;R$ 7,40;05/08/21; 82.316 ; 85.700 ; 6.709.671.390 ; - ; 6.709.671.390 ;15%;37%;50%;1%;;;;;
;ONCOCLINICAS;NM;Serv.Méd.Hospit..Análises e Diagnósticos;Goldman Sachs;IPO;ICVM 400;06/08/2021;R$ 19,75;10/08/21; 6.528 ; 6.914 ; 1.780.423.533 ; 889.239.089 ; 2.669.662.622 ;11%;66%;36%;2%;;;;;
;KORA SAUDE;NM;Serv.Méd.Hospit..Análises e Diagnósticos;Itaú BBA;IPO;ICVM 476;11/08/2021;R$ 7,20;13/08/21; 19 ; 80 ; 769.920.797 ; - ; 769.920.797 ;0%;80%;27%;6%;;;;;
;VITTIA;NM;Fertilizantes e Defensivos;XP Investimentos;IPO;ICVM 476;31/08/2021;R$ 8,60;02/09/21; 2 ; 267 ; 71.611.908 ; 310.388.095 ; 382.000.003 ;1%;101%;12%;1%;;;;;
;SINQIA;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;02/09/2021;R$ 23,00;06/09/21; 1 ; 1.844 ; 400.042.680 ; - ; 400.042.680 ;0%;55%;19%;26%;;;;;
;AES BRASIL;NM;Energia Elétrica;Bradesco BBI;FOLLOW-ON;ICVM 476;28/09/2021;R$ 12,00;30/09/21; 2.998 ; 3.385 ; 1.116.000.000 ; - ; 1.116.000.000 ;1%;28%;19%;51%;;;;;
;TOTVS;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;21/09/2021;R$ 36,75;23/09/21; - ; 990 ; 1.443.172.500 ; - ; 1.443.172.500 ;0%;18%;42%;40%;;;;;
;VAMOS;NM;Aluguel de carros;BTG Pactual;FOLLOW-ON;ICVM 476;23/09/2021;R$ 16,75;27/09/21; - ; 456 ; 1.098.532.168 ; - ; 1.098.532.168 ;0%;56%;36%;9%;;;;;
;PETZ;NM;Produtos Diversos;Itaú BBA;FOLLOW-ON;ICVM 476;18/11/2021;R$ 19,00;22/11/21; 647 ; 1.098 ; 779.000.000 ; - ; 779.000.000 ;0%;61%;39%;0%;;;;;
;3R PETROLEUM;NM;Exploração. Refino e Distribuição;Itaú BBA;FOLLOW-ON;ICVM 476;04/11/2021;R$ 33,00;08/11/21; 1.041 ; 1.553 ; 2.168.100.000 ; 240.900.000 ; 2.409.000.000 ;1%;82%;17%;0%;;;;;
;NU-NUBANK;BDR Patrocinado Nível 3;Bancos;NuInvest Corretora de Valores S.A.;IPO;ICVM 400;08/12/2021;R$ 8,36;09/12/21; 8.373.110 ; 8.373.110 ; 405.680.537 ; - ; 405.680.537 ;100%;0%;0%;0%;;;;;
;BR PARTNERS;N2;Bancos;BTG Pactual;FOLLOW-ON;ICVM 400;25/01/2022;R$ 16,50;27/01/22; 258 ; 265 ; 5.697.516 ; - ; 5.697.516 ;82%;15%;0%;3%;;;;;
;ALPAGARTAS;N1;Calçados;Itaú BBA;FOLLOW-ON;ICVM 476;22/02/2022;R$ 26,30;24/02/22; 16 ; 22 ; 2.498.500.000 ; - ; 2.498.500.000 ;0%;0%;0%;39%;;;;;
;BRF SA¹;NM;Carnes e Derivados;Citi;FOLLOW-ON;ICVM 476;01/02/2022;R$ 20,00;03/02/22; - ; 160 ; 5.400.000.000 ; - ; 5.400.000.000 ;0%;10%;29%;0%;;;;;
;AREZZO CO;NM;Tecidos. Vestuário e Calçados;Itaú BBA;FOLLOW-ON;ICVM 476;03/02/2022;R$ 82,35;07/02/22; 151 ; 699 ; 833.793.750 ; - ; 833.793.750 ;0%;64%;36%;0%;;;;;
;EQUATORIAL;NM;Energia Elétrica;Credit Suisse;FOLLOW-ON;ICVM 476;08/02/2022;R$ 23,50;10/02/22; 379 ; 1.119 ; 2.782.282.500 ; - ; 2.782.282.500 ;0%;51%;43%;6%;;;;;
;3 TENTOS;NM;Agricultura;BTG Pactual;FOLLOW-ON;ICVM 400;31/01/2022;R$ 9,60;02/02/22; 92 ; 127 ; 4.800.000 ; - ; 4.800.000 ;31%;32%;0%;36%;;;;;
;WDC NETWORKS²;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 400;11/02/2022;R$ 13,75;14/02/22; - ; - ; 4.592.528 ; - ; 4.592.528 ;0%;0%;0%;0%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;"¹ Dados referentes somente à (""Oferta Brasileira"").";;;;;;;;;;;;;;;;;;;;;
;;² Dados preliminares.;;;;;;;;;;;;;;;;;;;;;
;;³ Antes da Recompra no Âmbito das Atividades de Estabilização.;;;;;;;;;;;;;;;;;;;;;
;;4 Preço ponderado quando se tratar de oferta pública de ações ON e PN.;;;;;;;;;;;;;;;;;;;;;
;;N/D -  Não disponível;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
