Name,Até,Data Encontro,Feito?,Local Execução,Local Reunião,Prioridade,Projeto,Status,Tags,Tipo de Projeto
Banco Sagres,,,No,Oficina,,Em Espera,ferro doce,Não Iniciada,,Móveis e Luminárias
Planilha de Acompanhamento de Preços,,,No,Casa,,Baixa,,Não Iniciada,,Pessoal
Kiko | Praia do Forte | Projeto Executivo,,,No,Casa,,Em Espera,Praia do Forte,Não Iniciada,,Arquimedes
Cabeceira,26/02/2022 → 04/03/2022,,No,Oficina,,Alta,ferro doce,pronto,,Móveis e Luminárias
Criar Empresa,31/03/2022,,No,Casa,,Impreterível,,pronto,,Pessoal
Energia Solar,31/03/2022,,No,Casa,,Média,,Não Iniciada,,Pessoal
Suporte Bike,30/04/2022,,No,Oficina,,Em Espera,ferro doce,Não Iniciada,,Móveis e Luminárias
Projetar caixa de óculos fabbro,,,No,Casa,,,,Próximas,,
enviar amostras,,,No,,,,,pronto,,
Kick-Off OaK,,04/03/2022 10:00,No,Cliente,Oak na Estação Cid. Universitária,REUNIÃO,Oak,pronto,,Móveis e Luminárias
Modelo de Apresentação de Orçamento para móveis,,,No,Casa,,Alta,,pronto,,
modificações com o GUS,,08/03/2022 16:00,No,,,,,pronto,,Arquimedes
Revisão de Excel de Orçamento Arquitetura,08/03/2022,,No,Casa,,Alta,,pronto,,Pessoal
3d do bar com as rodinhas,,,No,,,,,pronto,,
Revisão de Modelo de Orçamento Móveis,08/03/2022,,No,Casa,,Média,,pronto,,Pessoal
Kiko | Praia do Forte | Planta Cargas R01,,,No,Casa,,Média,Praia do Forte,Aguardando Terceiros,,Arquimedes
biruta,,,No,,,,,Aguardando Terceiros,,
Fotos Cadeiras Sergio Rodrigues,,07/03/2022 8:00,No,Cliente,,Alta,,pronto,,Pessoal
Orçamento | OAK | Deck,,,No,Casa,,Impreterível,,Aguardando Terceiros,,
Kiko | Praia do Forte | Projeto Básico,,,No,Casa,,Alta,,Em Progresso,,Arquimedes
Luminária para estante,,,No,Casa,,,,Em Progresso,,
luminária de piso,,,No,Casa,,,,Próximas,,
"Estudo de Viabilidade Econômica e Plano de Negócios ",31/03/2022,,No,Casa,,Alta,,Próximas,,Casa Rural
ligar lojas de poste,,,No,,,Alta,,Em Progresso,,
Fotos Sapatilha Escalada e tenis,31/03/2022,,No,Cliente,,Baixa,,Próximas,,Pessoal
postar imagens das cadeiras no Instagram,,,No,,,,,Próximas,,
mesa criança,,,No,,,,,Aguardando Terceiros,,
CNPJ,,,No,,,,,Aguardando Terceiros,,
Kick-Off Isa Ferraz,,09/03/2022 10:15,No,Cliente,Rua Majubim 79,REUNIÃO,Isa Ferraz,pronto,,Móveis e Luminárias
Prateleira Adriano,26/02/2022 → 08/03/2022,,No,Oficina,,Impreterível,ferro doce,pronto,,Móveis e Luminárias
projetar cabeceira,,,No,,,,,pronto,,
projetar bar/banheiro,,,No,,,,,pronto,,